method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791664,4965778,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379175,130385943,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,582479,3485024,4,11,535,33,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2903,7199,418691,2799393,28947,186601,0,4,554,26,None
IF-AL#,RandomWp100,RandomWp100,adg,2082,6413,420847,2812640,24806,156534,0,0,558,22,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3195,8687,395951,2596051,32888,206856,1,12,460,34,None
IF-L#,RandomWp100,RandomWp100,adg,2488,8715,409912,2736049,38239,245351,1,18,533,40,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,386717,2161450,159,47,139,69,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,781933,12662774,16,14,522,36,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2975,7256,574428,11493470,34165,585259,92,8,350,28,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2323,7667,574212,11478182,34456,590047,22,7,375,28,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3084,7801,576249,11530279,36806,658420,55,12,282,32,None
IF-L#,RandomWord1000,RandomWord1000,adg,2364,7919,570639,11412444,36665,643170,36,11,303,31,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,701241,12277349,148,60,128,82,None
