method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,67319,403262,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,69797,419008,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14169,84903,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14051,84293,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,69178,414825,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,72162,436549,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14518,87812,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14109,84811,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,67696,405486,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,71534,432134,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,14047,84784,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,54,108,0,0,13564,81102,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,67338,403740,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,70171,423814,30,6,None,None
