method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4262837,34908140,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16966069,138955691,4266465,34941778,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21325216,174651248,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132502,962098,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55325,457629,28325,212611,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55284,457141,28157,207824,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,52,104,55253,456498,28556,211111,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,adg,52,170,50176,407197,40485,319357,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,144124,1082447,0,2,28,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,85806,908710,0,5,23,11,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,56,132,22776,454716,35714,354758,0,3,25,9,None
IF-AL#,RandomWord1000,RandomWord1000,adg,57,248,20771,415600,35094,357655,0,4,21,10,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,90,328,18443,368592,43912,464542,0,8,19,14,None
IF-L#,RandomWord1000,RandomWord1000,adg,59,241,19949,398773,42704,441731,0,6,21,12,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,85122,924787,0,8,20,14,None
AL#,WpK,WpK,None,0,0,0,0,21283104,174322527,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4276892,35035529,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4276983,35035912,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4259378,34871290,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16966069,138955691,4270766,34988420,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21325410,174667716,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131421,951885,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,128,51997,424199,37383,287541,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55298,457182,28036,209298,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,55,128,51904,423744,37993,298080,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,adg,55,113,54759,454301,29356,218550,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,144817,1092917,0,3,27,9,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,88212,931395,0,5,24,11,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,58,148,21658,433595,41289,408603,0,4,25,10,None
IF-AL#,RandomWord1000,RandomWord1000,adg,52,206,20862,417129,40197,401331,0,5,22,11,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,64,176,19709,393889,38312,402626,0,6,23,12,None
IF-L#,RandomWord1000,RandomWord1000,adg,56,220,21703,433868,31829,330867,0,3,25,9,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,84235,903490,0,8,20,14,None
AL#,WpK,WpK,None,0,0,0,0,21283629,174327320,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275843,35024823,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4277076,35037182,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4258960,34868205,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4259205,34870938,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21318489,174594141,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131591,952554,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,125,50663,411078,37904,292406,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,55,119,50160,406106,31624,234242,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,sep_seq,55,113,54644,453408,28877,210617,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,adg,52,170,52008,424846,39928,313309,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,144571,1082342,0,5,25,11,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,90743,954606,0,5,24,11,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,72,258,22991,458879,33862,343625,0,3,24,9,None
IF-AL#,RandomWord1000,RandomWord1000,adg,55,198,19449,389045,44606,441354,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,91,340,19491,391303,42523,445126,0,7,22,13,None
IF-L#,RandomWord1000,RandomWord1000,adg,68,246,19434,389520,46775,481878,0,7,21,13,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,83244,899970,0,12,17,18,None
AL#,WpK,WpK,None,0,0,0,0,21283579,174326125,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275598,35022591,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4275566,35022740,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4258783,34866228,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4258787,34867421,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21336248,174792145,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131134,949418,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,125,50436,409594,38418,295311,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,52,170,51264,417497,37549,289819,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,sep_seq,58,125,53157,441419,32564,237157,0,2,28,8,None
IF-L#,RandomWp100,RandomWp100,adg,52,104,55354,456757,28418,214956,0,0,30,6,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,145184,1090931,0,1,29,7,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,91442,954859,0,6,21,12,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,59,155,20650,412472,36855,370718,0,4,22,10,None
IF-AL#,RandomWord1000,RandomWord1000,adg,44,214,21776,434812,40991,410461,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,61,165,20152,403097,39409,404212,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,adg,59,275,20137,402490,43768,452664,0,6,22,12,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,84244,905125,0,9,18,15,None
AL#,WpK,WpK,None,0,0,0,0,21283430,174325564,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275355,35020943,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4276979,35035865,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4258947,34868285,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16966069,138955691,4265912,34936916,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21339786,174793444,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131031,947308,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,125,50362,409101,37554,287063,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55324,456748,28223,209942,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,55,119,54698,453549,30736,227334,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,adg,63,137,54042,448282,31068,230020,0,2,28,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,144668,1076732,0,4,25,10,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,89427,949440,0,6,23,12,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,89,330,19928,397800,44940,449917,0,6,23,12,None
IF-AL#,RandomWord1000,RandomWord1000,adg,45,225,21192,424698,46509,459976,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,63,175,20008,399427,38434,402344,0,6,20,12,None
IF-L#,RandomWord1000,RandomWord1000,adg,60,239,21504,432063,33709,346329,0,4,21,10,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,85186,916816,0,11,17,17,None
AL#,WpK,WpK,None,0,0,0,0,21283702,174327494,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275354,35020935,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4277255,35039189,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16966069,138955691,4266500,34942063,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16966069,138955691,4271640,34995575,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21331944,174734967,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132104,959649,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55330,457476,28215,207367,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55273,456667,27980,211166,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,55,113,54673,452847,29553,217446,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,adg,52,104,55366,457487,29235,221700,0,0,30,6,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,141928,1057309,0,6,23,12,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,88421,934123,0,7,21,13,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,60,154,21690,433684,30802,314518,0,3,24,9,None
IF-AL#,RandomWord1000,RandomWord1000,adg,56,220,20873,416803,37451,375662,0,4,24,10,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,61,157,19850,397857,38578,394651,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,adg,71,248,19277,385918,40987,432978,0,6,20,12,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,85362,924300,0,13,15,19,None
AL#,WpK,WpK,None,0,0,0,0,21284266,174332066,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4276979,35035865,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4275353,35020977,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16966069,138955691,4266011,34937934,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4262697,34907505,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21317088,174599384,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131903,957699,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,125,50386,408159,37766,287613,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,52,139,52923,433590,36697,284434,0,1,27,7,None
IF-L#,RandomWp100,RandomWp100,sep_seq,55,113,54883,454184,30909,227020,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,adg,60,128,54634,453459,30337,227704,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,141600,1063473,0,7,23,13,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,88395,931802,0,4,25,10,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,60,158,20566,410920,38629,390823,0,5,23,11,None
IF-AL#,RandomWord1000,RandomWord1000,adg,48,192,21341,426334,36725,371741,0,4,24,10,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,62,166,20035,400938,37921,401247,0,6,21,12,None
IF-L#,RandomWord1000,RandomWord1000,adg,71,270,19259,384902,42633,438159,0,6,20,12,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,86821,936107,0,15,13,21,None
