method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,577,1577,76021,1521660,59722,731256,12,8,31,27,None
IF-AL#,RandomWord1000,RandomWord1000,adg,324,1099,81105,1623183,58157,713171,13,8,20,26,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,580,1748,68634,1373037,70364,934104,11,19,12,39,None
IF-L#,RandomWord1000,RandomWord1000,adg,295,1203,67967,1360200,77668,1047270,9,24,12,44,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,175457,2350688,0,54,7,74,None
AL#,WpK,WpK,None,0,0,0,0,26042887,227669857,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764976,181607313,5237744,45780378,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20765058,181607502,5238036,45783425,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20785884,181890077,5308300,46463979,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20885580,182732584,5324552,46630184,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26512853,232225719,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,509557,4327300,0,15,77,35,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,632,2268,251557,2290987,152661,1352545,0,11,55,31,None
IF-AL#,RandomWp100,RandomWp100,adg,280,1412,243110,2194311,156445,1393093,0,11,57,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,664,1897,207557,1824541,190323,1700155,1,20,40,40,None
IF-L#,RandomWp100,RandomWp100,adg,299,1567,201295,1758678,205534,1844378,0,23,35,43,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,397381,3165469,8,37,24,57,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,251939,2958571,0,26,26,46,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,615,1766,75924,1521136,70205,866538,8,13,11,32,None
IF-AL#,RandomWord1000,RandomWord1000,adg,267,1007,81713,1633285,54230,667621,9,5,29,24,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,620,1862,66537,1327635,89222,1195798,13,31,6,50,None
IF-L#,RandomWord1000,RandomWord1000,adg,330,1224,68955,1379121,75780,994925,12,22,13,41,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,176362,2358882,3,51,8,71,None
AL#,WpK,WpK,None,0,0,0,0,26043149,227669462,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764976,181607313,5238327,45787291,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20762382,181571322,5238111,45783552,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20786080,181787981,5308974,46510063,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20863432,182460852,5309458,46477331,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26494863,232031006,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,509507,4312035,0,8,76,28,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,590,1684,266819,2460819,122022,1062123,0,4,74,24,None
IF-AL#,RandomWp100,RandomWp100,adg,284,1641,240382,2173141,165670,1465730,0,14,55,34,None
IF-L#,RandomWp100,RandomWp100,sep_seq,614,1914,208834,1829215,204118,1850693,0,21,38,41,None
IF-L#,RandomWp100,RandomWp100,adg,263,1337,228531,2046928,164165,1443429,0,15,36,35,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,395524,3113350,7,35,24,55,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,253243,2972782,0,30,39,50,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,571,1494,76951,1537608,67446,842065,11,12,15,31,None
IF-AL#,RandomWord1000,RandomWord1000,adg,316,1176,76912,1536703,61345,738803,9,6,28,26,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,579,1780,64667,1291803,85043,1143464,9,28,9,48,None
IF-L#,RandomWord1000,RandomWord1000,adg,353,1351,67768,1355370,75672,1011648,10,22,11,42,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,175082,2350795,2,55,12,75,None
AL#,WpK,WpK,None,0,0,0,0,26031386,227543967,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20761512,181561501,5237490,45779503,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20738874,181373638,5227712,45704298,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20778148,181791117,5297012,46376048,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20881000,182673972,5322331,46601158,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26492820,231948215,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,508657,4311195,0,7,71,27,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,600,1771,254347,2326118,145741,1313308,0,7,60,27,None
IF-AL#,RandomWp100,RandomWp100,adg,275,1431,260021,2410435,136317,1187729,0,8,61,28,None
IF-L#,RandomWp100,RandomWp100,sep_seq,637,2256,228445,2034713,170480,1501687,0,15,42,35,None
IF-L#,RandomWp100,RandomWp100,adg,286,1415,209336,1835826,188746,1688866,0,18,34,38,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,414875,3339527,4,43,23,63,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,251889,2965044,0,27,33,47,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,575,1522,76101,1521023,68167,843831,14,12,6,31,None
IF-AL#,RandomWord1000,RandomWord1000,adg,304,1225,77933,1561179,64964,802058,6,9,34,29,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,687,2127,62428,1250150,82769,1100719,10,26,14,46,None
IF-L#,RandomWord1000,RandomWord1000,adg,300,1273,68270,1365833,78180,1065192,10,25,14,45,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,178174,2367149,0,62,9,82,None
AL#,WpK,WpK,None,0,0,0,0,26033344,227596466,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764976,181607313,5238264,45786641,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20797518,181961918,5245617,45867241,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20783664,181861977,5310895,46537356,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20871036,182554456,5309841,46439398,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26522722,232419913,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,505031,4256006,0,7,75,27,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,595,1732,257729,2362105,137100,1196232,0,8,61,28,None
IF-AL#,RandomWp100,RandomWp100,adg,252,1420,246895,2233888,150609,1334867,0,9,60,29,None
IF-L#,RandomWp100,RandomWp100,sep_seq,637,2036,214639,1907988,191511,1722006,0,20,32,40,None
IF-L#,RandomWp100,RandomWp100,adg,279,1436,212530,1881152,199352,1755198,0,23,36,43,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,391283,3088670,8,38,25,58,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,255429,2987681,0,26,41,46,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,597,1651,74101,1482243,71665,883068,14,15,17,33,None
IF-AL#,RandomWord1000,RandomWord1000,adg,267,1162,77355,1546080,61414,755363,10,8,29,27,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,658,1957,63835,1274720,85264,1146385,9,28,11,48,None
IF-L#,RandomWord1000,RandomWord1000,adg,330,1371,60344,1208006,88871,1209749,10,31,12,51,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,177485,2365223,2,61,8,81,None
AL#,WpK,WpK,None,0,0,0,0,26024735,227502880,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764976,181607313,5237620,45779128,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20738086,181364006,5227042,45700418,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20802368,181995113,5320863,46600234,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20879852,182657044,5324199,46645721,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26499960,232104976,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,503027,4226250,0,14,67,34,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,608,1862,251578,2321930,159914,1437684,0,12,69,32,None
IF-AL#,RandomWp100,RandomWp100,adg,331,1184,263186,2437351,136477,1225075,0,6,69,26,None
IF-L#,RandomWp100,RandomWp100,sep_seq,634,1919,229338,2031423,170932,1548421,0,16,39,36,None
IF-L#,RandomWp100,RandomWp100,adg,246,1407,217984,1928543,187317,1667031,0,18,35,38,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,376982,2950199,10,37,25,57,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,250456,2958374,0,27,40,47,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,615,1775,79205,1584997,65646,809559,7,10,30,29,None
IF-AL#,RandomWord1000,RandomWord1000,adg,307,1148,78462,1571065,65579,812467,9,11,27,30,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,605,1638,67742,1354797,79696,1063998,12,24,19,44,None
IF-L#,RandomWord1000,RandomWord1000,adg,332,1367,69614,1394600,79853,1075911,11,25,6,45,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,176275,2359271,2,49,7,69,None
AL#,WpK,WpK,None,0,0,0,0,26041559,227653000,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764188,181597681,5237556,45782559,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20764270,181597870,5237320,45778790,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20785880,181890053,5312770,46506839,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20874264,182589716,5326751,46666675,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26508773,232190570,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,501125,4199191,0,10,67,30,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,584,2176,243594,2205054,175233,1594901,0,13,68,33,None
IF-AL#,RandomWp100,RandomWp100,adg,235,1305,249325,2277000,153011,1377572,0,9,67,29,None
IF-L#,RandomWp100,RandomWp100,sep_seq,637,1950,182764,1569747,213119,1889423,1,24,35,44,None
IF-L#,RandomWp100,RandomWp100,adg,238,1570,218886,1947017,200128,1837338,0,18,50,38,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,400500,3203215,7,38,23,58,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,250970,2955640,0,33,30,53,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,542,1572,77700,1553567,66680,830228,10,11,26,31,None
IF-AL#,RandomWord1000,RandomWord1000,adg,355,997,78615,1570174,59183,716518,15,9,26,26,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,645,2010,64529,1290464,86271,1165479,13,29,13,49,None
IF-L#,RandomWord1000,RandomWord1000,adg,351,1334,69620,1392679,76324,1029522,10,23,13,43,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,175173,2352557,3,54,8,74,None
AL#,WpK,WpK,None,0,0,0,0,26036009,227596964,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764188,181597681,5238210,45789769,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20765058,181607502,5237640,45779586,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20785760,181884937,5306911,46465081,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20878928,182658076,5324890,46660512,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26495636,232043299,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,510585,4338775,0,13,65,33,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,618,1941,254779,2369828,156455,1436912,0,9,78,29,None
IF-AL#,RandomWp100,RandomWp100,adg,242,1346,240863,2173769,160737,1429960,0,12,57,32,None
IF-L#,RandomWp100,RandomWp100,sep_seq,634,2058,209735,1834585,210853,1932543,0,20,42,40,None
IF-L#,RandomWp100,RandomWp100,adg,301,1630,216246,1924407,200529,1795800,0,22,30,42,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,398432,3157627,5,43,22,63,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,252509,2965304,0,24,47,44,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,577,1527,79173,1586749,62410,767466,12,10,19,28,None
IF-AL#,RandomWord1000,RandomWord1000,adg,247,1018,80204,1604352,57693,713523,7,6,14,26,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,617,1855,71795,1437441,69254,918764,9,18,10,38,None
IF-L#,RandomWord1000,RandomWord1000,adg,326,1408,70368,1409796,80539,1083381,8,25,12,45,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,176025,2349064,3,55,7,75,None
AL#,WpK,WpK,None,0,0,0,0,26031434,227543895,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20762300,181571133,5237636,45779516,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20765058,181607502,5233734,45738229,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20780384,181822621,5307758,46498504,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20874416,182596236,5311796,46509416,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26501032,232060868,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,512526,4374194,0,9,73,29,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,620,2221,232629,2082211,180054,1645109,0,14,54,34,None
IF-AL#,RandomWp100,RandomWp100,adg,271,1343,245606,2216410,159698,1422145,0,11,62,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,642,2047,203902,1799791,199587,1752416,0,22,29,42,None
IF-L#,RandomWp100,RandomWp100,adg,310,1465,205747,1781844,189276,1689139,1,18,39,38,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,379755,2962735,4,43,21,63,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,253065,2975995,0,28,40,48,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,567,1689,79371,1589217,63165,781020,7,8,29,28,None
IF-AL#,RandomWord1000,RandomWord1000,adg,326,1284,77623,1553597,66193,808948,13,11,29,29,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,636,1847,65946,1318950,81294,1079727,11,26,9,45,None
IF-L#,RandomWord1000,RandomWord1000,adg,345,1474,66552,1329263,77856,1035362,12,24,11,43,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,176892,2360491,4,58,7,78,None
AL#,WpK,WpK,None,0,0,0,0,26043742,227680517,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20796648,181952097,5241608,45828485,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20796730,181952286,5246165,45877035,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20796404,181914429,5308538,46461409,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20889856,182692356,5313534,46449896,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26495959,232091991,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,501001,4191718,0,10,66,30,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,618,1893,242464,2202051,179814,1658284,0,14,65,34,None
IF-AL#,RandomWp100,RandomWp100,adg,313,1488,250660,2308004,170194,1587922,0,11,76,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,638,2023,219965,1956626,198459,1786342,0,22,33,42,None
IF-L#,RandomWp100,RandomWp100,adg,312,1494,233350,2111826,161034,1406202,0,14,38,34,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,389086,3086409,8,40,20,60,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,249148,2935579,0,32,43,52,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,592,1623,74004,1479459,68140,846006,13,13,22,32,None
IF-AL#,RandomWord1000,RandomWord1000,adg,322,1046,76974,1539833,66109,802632,9,10,20,29,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,604,1854,70828,1415918,75109,1021011,13,25,11,43,None
IF-L#,RandomWord1000,RandomWord1000,adg,319,1225,69715,1392590,72326,965220,8,20,7,40,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,175670,2349815,2,54,12,74,None
AL#,WpK,WpK,None,0,0,0,0,26044430,227685186,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20793972,181915917,5241208,45823242,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20764270,181597870,5238034,45786096,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20785884,181890077,5311926,46552425,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20876544,182622128,5321939,46621493,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26500169,232107187,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,499983,4187542,0,12,59,32,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,585,1704,246492,2211899,157726,1423306,0,10,61,30,None
IF-AL#,RandomWp100,RandomWp100,adg,269,1417,250589,2296972,145869,1294454,0,7,73,27,None
IF-L#,RandomWp100,RandomWp100,sep_seq,606,1816,227761,2017893,178647,1650494,0,15,35,35,None
IF-L#,RandomWp100,RandomWp100,adg,294,1547,182184,1553217,229135,2072049,1,27,34,47,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,370102,2841348,7,36,22,56,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,259148,3024313,0,25,40,45,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,600,1702,77552,1552566,62298,765348,10,8,28,27,None
IF-AL#,RandomWord1000,RandomWord1000,adg,306,1085,78151,1564055,57931,721761,10,9,21,27,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,609,1635,72168,1440562,65123,865382,12,17,12,36,None
IF-L#,RandomWord1000,RandomWord1000,adg,322,1200,72535,1451446,79162,1056799,11,24,10,44,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,174582,2343491,10,51,10,71,None
