method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4144,20615,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4212,21543,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21035,105810,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20993,106465,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4284,21511,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4171,21265,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20831,104750,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21004,106486,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4272,21381,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4233,21645,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20555,102728,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21091,107069,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4284,21511,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4200,21385,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20723,103739,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21000,106687,30,6,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4166,20942,30,6,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,53,116,0,0,4197,21308,30,6,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,21013,105538,30,6,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,20949,106165,30,6,None,None
