method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32007,639761,9087,164066,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45538,824467,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225450,1251266,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44939,249892,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44881,249682,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225431,1251397,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23564,129274,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15863,94030,4784,26484,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15751,93240,4885,26997,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15757,93473,4726,26122,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15772,93575,4798,26628,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23965,132148,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45486,820380,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639849,9120,163540,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32004,640880,9158,163813,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32009,639964,9085,163674,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,640298,9066,164092,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45494,820326,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225461,1251302,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44939,249880,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44881,249682,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225436,1251426,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23762,130394,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15903,94017,4749,26229,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15879,94147,4738,26178,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15764,93615,4702,26380,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15800,93570,4707,26031,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23975,132176,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45386,816455,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639821,9138,164219,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32007,639306,9138,164366,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,642655,9098,164238,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,639961,9100,164282,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45530,818295,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225457,1251282,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44939,249880,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44880,249671,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44911,249740,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225449,1251476,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23921,131529,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15725,93260,4782,26330,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15977,94847,4706,26147,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15736,93367,4783,26574,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15708,93028,4760,26505,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23841,131237,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45417,817339,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,639840,9112,163550,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32005,640511,9140,164606,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32008,638794,9085,163909,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32014,640680,9084,164517,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45470,819988,0,0,40,8,None

