method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5326,18100,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5447,18104,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1098,3720,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1091,3641,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5429,18486,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5433,18059,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1107,3748,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1079,3602,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5357,18213,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5427,18031,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1107,3748,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1079,3602,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5352,18191,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5449,18128,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1101,3730,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1079,3602,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5357,18213,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5449,18111,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1106,3748,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1076,3591,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5394,18358,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5452,18130,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1097,3718,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1089,3635,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5371,18272,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5424,18041,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1101,3730,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1085,3616,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5351,18187,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5465,18161,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1098,3720,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1097,3664,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5348,18184,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5455,18140,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1102,3736,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1093,3652,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5347,18181,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5473,18193,40,8,None,None
IF-AL#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1102,3734,40,8,None,None
IF-L#,PerfectKnowledge,PerfectKnowledge,adg,69,85,0,0,1082,3613,40,8,None,None
AL#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5326,18100,40,8,None,None
L#,PerfectKnowledge,PerfectKnowledge,None,0,0,0,0,5436,18073,40,8,None,None
